timestamp,model,sales
2025-06-24 19:34:22+00:00,rx6700,
2025-06-24 19:34:22+00:00,rtx3090,
2025-06-24 19:34:22+00:00,rtx3080,
2025-06-24 19:34:22+00:00,rtx3070,
2025-06-24 19:34:22+00:00,rtx3060,
2025-04-25 11:55:33+00:00,rtx3080,3.0
2025-04-25 11:55:33+00:00,rtx3060,17.0
2025-04-25 11:55:33+00:00,rtx3070,3.0
2025-04-25 11:55:33+00:00,rtx3090,4.0
2025-04-25 11:55:33+00:00,rx6700,18.0
2025-04-25 11:54:35+00:00,rx6700,5.0
2025-04-25 11:54:35+00:00,rtx3090,14.0
2025-04-25 11:54:35+00:00,rtx3080,3.0
2025-04-25 11:54:35+00:00,rtx3070,3.0
2025-04-25 11:54:35+00:00,rtx3060,6.0
2025-04-25 11:53:36+00:00,rtx3080,5.0
2025-04-25 11:53:36+00:00,rtx3060,0.0
2025-04-25 11:53:36+00:00,rtx3070,5.0
2025-04-25 11:53:36+00:00,rx6700,12.0
2025-04-25 11:53:36+00:00,rtx3090,9.0
2025-04-25 11:52:37+00:00,rx6700,20.0
2025-04-25 11:52:37+00:00,rtx3090,2.0
2025-04-25 11:52:37+00:00,rtx3080,16.0
2025-04-25 11:52:37+00:00,rtx3070,16.0
2025-04-25 11:52:37+00:00,rtx3060,16.0
2025-04-25 11:51:39+00:00,rx6700,20.0
2025-04-25 11:51:39+00:00,rtx3090,4.0
2025-04-25 11:51:39+00:00,rtx3080,12.0
2025-04-25 11:51:39+00:00,rtx3070,12.0
2025-04-25 11:51:39+00:00,rtx3060,10.0
2025-04-25 11:50:41+00:00,rtx3080,5.0
2025-04-25 11:50:41+00:00,rtx3060,9.0
2025-04-25 11:50:41+00:00,rtx3070,5.0
2025-04-25 11:50:41+00:00,rx6700,11.0
2025-04-25 11:50:41+00:00,rtx3090,12.0
2025-04-25 11:49:42+00:00,rx6700,14.0
2025-04-25 11:49:42+00:00,rtx3090,10.0
2025-04-25 11:49:42+00:00,rtx3080,11.0
2025-04-25 11:49:42+00:00,rtx3070,11.0
2025-04-25 11:49:42+00:00,rtx3060,12.0
2025-04-25 11:48:44+00:00,rx6700,18.0
2025-04-25 11:48:44+00:00,rtx3090,0.0
2025-04-25 11:48:44+00:00,rtx3080,15.0
2025-04-25 11:48:44+00:00,rtx3070,15.0
2025-04-25 11:48:44+00:00,rtx3060,18.0
2025-04-25 11:47:46+00:00,rtx3070,1.0
2025-04-25 11:47:46+00:00,rtx3060,9.0
